restaurant_id,restaurant_name,neighborhood,review_count,price,type,average_rating
kGb2Rnh3Uwni5k0qQY-05Q,Nuevo Laredo Cantina,Westside / Home Park,1013,2,mexican,4
KqHES_Rr8btKCdz4RmpR_Q,Grana,Westside / Home Park,8,,american,5
kzXrQKJpN2JyLd68iwH3hg,Little Bangkok,Morningside / Lenox Park,737,2,asian,4
LyizNBLFLB4Qkx_0_8_BaQ,Der Biergarten,Westside / Home Park,631,2,european,4
MurRZhxMFipelvK2zzHRaw,The Iberian Pig,West Paces Ferry / Northside,143,,european,4.5
OD97PIrms4dSxVbdT1T7Bw,The Garden Room,West Paces Ferry / Northside,60,,american,4
oGshUJhbJsjsnaQZXJaDNA,Waikikie Hawaiian BBQ,Morningside / Lenox Park,548,2,meat,4
Or5vdm-okztVKK8-3Wm1FQ,Barcelona Inman Park,Westside / Home Park,1153,2,european,4
Pl2c7HLD9UgFL2zHP0cZVQ,Tabla,Westside / Home Park,499,2,asian,4
Qd6r9d5EcIRY3bWRW7-rBg,Heirloom Market BBQ,Buckhead,1554,2,meat,4.5
qJAoMZ773AMxN3ewp8cbQA,Purnima Bangladeshi Cuisine,Buckhead,720,2,asian,4.5
qTXYie0Phy8JbuOau4rTmg,Aziza,Westside / Home Park,55,,mideastern,4.5
QW3anlt1nJ9aNkdQAV-Ifw,Old Lady Gang,Westside / Home Park,1778,2,american,3.5
r0JxdG5StcD8eiHF9u01ZQ,Slutty Vegan,West End,639,2,specificDiet,4.5
rNmAxOkEJ07_YHAxHKyH4Q,Hawkers Asian Street Fare,Westside / Home Park,268,2,asian,4
S9NvWyHUPsuYK7ObMV43pA,Desta Ethiopian Kitchen,Morningside / Lenox Park,1658,2,african,4.5
Slj9yz_RfDRqiMRH8VxUMQ,Amalfi Pizza,Westside / Home Park,698,2,fastfood,4
SuA90sXOd6Jw9W_Bz6P1RA,Holeman & Finch,Westside / Home Park,1341,2,bar,4
TA1KUSCu8GkWP9w0rmElxw,FLIP burger boutique,Westside / Home Park,1856,2,fastfood,4
tDv2qG4N7PsYLN0QYuuaZQ,Bulla Gastrobar,Westside / Home Park,420,2,european,4.5
u-4wti774tFcYRLuQrnHEg,Fox Bros. Bar-B-Q,Poncey - Highland,3690,2,meat,4.5
U-i6cq-yFRVJC4pIKSLX9Q,Poor Calvin's,Westside / Home Park,3158,2,asian,4.5
uO4A77jXMPfZmlbf_52zRw,BoccaLupo,Westside / Home Park,539,2,european,4.5
uZaT6J821lHMFrfrFno7lg,Herban Fix - Vegan Kitchen,Westside / Home Park,731,2,specificDiet,4.5
v3Bj4U3WMuol_VLJLQpvRQ,Dat Fire Jerk Chicken,West End,269,2,caribbean,4
V86AJK3xytBv2C0bwi9_Ow,La Pastorcita,Morningside / Lenox Park,369,1,mexican,4
vFulipMlcFyN60_SyAhjyA,Twin Smokers BBQ,Westside / Home Park,914,2,meat,4
vgUv079XkNbWOtBf3tYKnw,The Hungry Peach,Westside / Home Park,53,2,american,4.5
vQgMPq9_YttFX6nau6PomA,Mamoun's Falafel,Westside / Home Park,67,2,mideastern,4.5
WkN8Z2Q8gbhjjkCt8cDVxg,Two Urban Licks,Westside / Home Park,2637,2,bar,4
WpC8T9oazzH7A7yR5e56Vg,gusto!,Westside / Home Park,438,1,american,4.5
yNRCLu9ESXu9M9R-nO_fEQ,Ruby Chow's,Westside / Home Park,22,,asian,5
yoHbWZBDmgHyl5oWMQRIoQ,WIN Indonesian Grill & Gastrobar,Westside / Home Park,94,2,asian,4.5
yWsHawhAIt1rINn4U8s3kQ,Staplehouse,Westside / Home Park,254,4,american,4
Z2qMwUhnGt_2pA9uQbS7Uw,The Vortex Bar And Grill - Midtown,Westside / Home Park,1710,2,fastfood,4
z9oCxeqOKp2QMfM24m7bUw,Mary Mac's Tea Room,Westside / Home Park,3805,2,american,4
ZdEohT36LcY3eKh4fJMGRQ,Cafe Agora,West Paces Ferry / Northside,700,2,asian,4
ZKZGgOsRPpAjc9oMBT_uBw,Kinnotori Ramen Bar,Westside / Home Park,16,2,asian,4.5
